Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
71075,2010,8,10,5,-5.7,3
71075,2010,8,11,0,-2,26
71075,2010,8,12,1.3,-3.4,7.4
71075,2010,8,13,7.8,-3.1,1.2
71075,2010,8,14,5.3,-2.2,0
71075,2010,8,15,1.6,-0.5,13.6
71075,2010,8,16,0.5,-3.2,15
71075,2010,8,17,6.3,-5.4,13.6
71075,2010,8,18,2.3,-6.1,0
71075,2010,8,19,1.7,-0.7,64
71075,2010,8,20,-2.5,-6,13.2
71075,2010,8,21,-0.9,-4.9,7.2
71075,2010,8,22,3.4,-3.3,5
71075,2010,8,23,3.7,-5.9,0.2
71075,2010,8,24,0.8,-1.8,3.8
71075,2010,8,25,-2.6,-6.3,17.2
71075,2010,8,26,-1,-6.5,28.4
71075,2010,8,27,2,-4.1,23.8
71075,2010,8,28,6.5,-5.5,7.8
71075,2010,8,29,5.7,-9.6,1.8
71075,2010,8,30,6.9,-6.9,0
71075,2010,8,31,5.9,-4.4,0
71075,2010,9,1,4.6,0.1,0
71075,2010,9,2,4.5,1.3,42.6
71075,2010,9,3,8.8,-1.6,10.8
71075,2010,9,4,9,-0.2,9.4
71075,2010,9,5,0.3,-0.2,120.4
71075,2010,9,6,1.1,-2.1,19
71075,2010,9,7,3.6,-8,9.4
71075,2010,9,8,4.6,-7.6,0
71075,2010,9,9,5.1,-3.1,0
71075,2010,9,10,3.5,1.1,10.2
71075,2010,9,11,3.6,-4.5,15.4
71075,2010,9,12,3.3,-4.9,0.2
71075,2010,9,13,4.7,0.4,4.8
71075,2010,9,14,9,-2,2.4
71075,2010,9,15,3.3,0.4,0
71075,2010,9,16,2.8,-2.4,3.6
71075,2010,9,17,5.6,-3.6,0.2
71075,2010,9,18,7.5,-1,0
71075,2010,9,19,7,-5.5,0
71075,2010,9,20,11.5,-3.8,0
71075,2010,9,21,11.1,2.5,0
71075,2010,9,22,7.9,-0.6,0
71075,2010,9,23,8.7,-4.1,0
71075,2010,9,24,9.3,-1.8,0
71075,2010,9,25,6,0.2,0
71075,2010,9,26,8.4,0.8,5.6
71075,2010,9,27,6,3,0
71075,2010,9,28,2,-0.6,5
71075,2010,9,29,2.1,-5.4,0.4
71075,2010,9,30,7.6,-10.6,0
71075,2010,10,1,9.8,-6.2,0
71075,2010,10,2,10.6,-3,0
71075,2010,10,3,9.6,2.5,0
71075,2010,10,4,10.8,3.5,1.2
71075,2010,10,5,14.7,5,1.2
71075,2010,10,6,14.4,3.8,0
71075,2010,10,7,7.5,2.7,26.2
71075,2010,10,8,11.1,-2.3,0
71075,2010,10,9,13.2,-1.4,0
71075,2010,10,10,9.5,3.5,0
71075,2010,10,11,12.3,1,0
71075,2010,10,12,10.4,4.3,0
71075,2010,10,13,9.3,6.6,4.4
71075,2010,10,14,11,5.8,31.8
71075,2010,10,15,11.2,5.5,22.2
71075,2010,10,16,0.9,-6.2,74.8
71075,2010,10,17,2.2,-5,2.2
71075,2010,10,18,6.4,-0.5,0
71075,2010,10,19,12.2,-5.8,0
71075,2010,10,20,15.2,-0.9,0
71075,2010,10,21,16.1,2.9,0
71075,2010,10,22,13.7,1.6,0
71075,2010,10,23,8.8,7.6,3.4
71075,2010,10,24,12,-0.4,12.2
71075,2010,10,25,12.7,-1.5,0.4
71075,2010,10,26,10.8,3.4,2.4
71075,2010,10,27,10.7,3.5,10.6
71075,2010,10,28,12.5,2.9,0
71075,2010,10,29,16.6,-0.6,0.2
71075,2010,10,30,13.3,8.7,0
71075,2010,10,31,9.5,7.2,54.2
71075,2010,11,1,9.6,1.4,3.4
71075,2010,11,2,9.2,-0.2,13.8
71075,2010,11,3,8.2,2.1,
71075,2010,11,4,2.1,-2,0.2
71075,2010,11,5,4.4,-1.2,5
71075,2010,11,6,10.9,-0.8,1.4
71075,2010,11,7,11.3,0,1.8
71075,2010,11,8,13.2,4.9,13
71075,2010,11,9,16.9,2.2,1.4
71075,2010,11,10,15.6,8.7,3.4
71075,2010,11,11,15.7,5.1,22.2
71075,2010,11,12,19.4,11.9,0
71075,2010,11,13,16.2,11.7,0
71075,2010,11,14,14.6,12.5,21.8
71075,2010,11,15,13.6,8.8,48.2
71075,2010,11,16,10.4,1.6,0.2
71075,2010,11,17,15.2,-1.5,0
71075,2010,11,18,12.4,0.5,0
71075,2010,11,19,14.6,2.8,0.2
71075,2010,11,20,18.2,1,0
71075,2010,11,21,18.3,5.2,0
71075,2010,11,22,18.9,3.4,3.4
71075,2010,11,23,18.8,7.3,0
71075,2010,11,24,17.4,9.6,0
71075,2010,11,25,16.6,11.4,0
71075,2010,11,26,14.5,9.4,0.6
71075,2010,11,27,17.1,9.4,0.8
71075,2010,11,28,14.8,9.8,20.4
71075,2010,11,29,6.5,4,36.6
71075,2010,11,30,8.9,3.8,19.2
71075,2010,12,1,10.4,6,20.6
71075,2010,12,2,16.4,8.2,12
71075,2010,12,3,19.3,5.7,4.6
71075,2010,12,4,18.6,10.3,0.8
71075,2010,12,5,18.4,4.2,9
71075,2010,12,6,17,9.3,1.4
71075,2010,12,7,16.8,7.7,15.6
71075,2010,12,8,15.7,11.9,2.4
71075,2010,12,9,15.4,11.7,102.6
71075,2010,12,10,10.5,7.4,3.8
71075,2010,12,11,9.9,2.7,0
71075,2010,12,12,10.4,3.4,0.4
71075,2010,12,13,15.7,2.6,0
71075,2010,12,14,17.7,5,0
71075,2010,12,15,17.7,5.8,0
71075,2010,12,16,15.1,7,17.8
71075,2010,12,17,10.9,2.6,0
71075,2010,12,18,7.2,3.4,11
71075,2010,12,19,7.5,1.6,15.4
71075,2010,12,20,5.2,-0.9,40.2
71075,2010,12,21,10.9,0.2,12.2
71075,2010,12,22,17.2,-0.9,0
71075,2010,12,23,20.3,8.4,0
71075,2010,12,24,20.2,1.6,0
71075,2010,12,25,17.1,11.2,0
71075,2010,12,26,15.9,9.1,11.4
71075,2010,12,27,13.9,6,6.8
71075,2010,12,28,16.6,-1.8,0
71075,2010,12,29,16.8,8.3,0
71075,2010,12,30,19.4,5,0
71075,2010,12,31,23.3,8.3,0
71075,2011,1,1,23.2,16.7,0
71075,2011,1,2,19.8,11.3,3
71075,2011,1,3,19.1,1.6,0
71075,2011,1,4,17.2,6.2,0.4
71075,2011,1,5,19.6,4,0.2
71075,2011,1,6,18.5,6.6,7.2
71075,2011,1,7,20,5.2,0
71075,2011,1,8,21.4,6.7,0
71075,2011,1,9,17.5,10.7,0
71075,2011,1,10,15.7,10.3,39.4
71075,2011,1,11,14.7,9.4,13.2
71075,2011,1,12,18.9,12,10.6
71075,2011,1,13,19,13.5,4
71075,2011,1,14,15.8,13.2,4.4
71075,2011,1,15,23.3,12.6,14.6
71075,2011,1,16,24.3,9.2,0
71075,2011,1,17,17.9,13.1,0
71075,2011,1,18,19.2,1.9,0
71075,2011,1,19,19.4,8.2,0
71075,2011,1,20,20.4,6.9,
71075,2011,1,21,19.3,7.5,0
71075,2011,1,22,21.4,6.8,0
71075,2011,1,23,19.1,9.5,20.4
71075,2011,1,24,16.8,13.1,0
71075,2011,1,25,19.7,8.8,0
71075,2011,1,26,23.9,12.3,5.8
71075,2011,1,27,22.2,11.6,0
71075,2011,1,28,20.7,0.5,0
71075,2011,1,29,21.1,4.6,0
71075,2011,1,30,23,8,0
71075,2011,1,31,25.2,12.3,0
71075,2011,2,1,24.5,12.6,0
71075,2011,2,2,19.7,12.9,1.6
71075,2011,2,3,24.5,14.8,27.4
71075,2011,2,4,19.6,13,21.4
71075,2011,2,5,15.7,14.3,99.6
71075,2011,2,6,13.4,8.3,99.6
71075,2011,2,7,18,-1.5,3.8
71075,2011,2,8,18,3.3,0
71075,2011,2,9,16.7,6.2,0
71075,2011,2,10,17.1,6.1,0
71075,2011,2,11,14.8,12.2,25
71075,2011,2,12,19.1,10.7,99.8
71075,2011,2,13,18.3,8.1,0.6
71075,2011,2,14,16.1,1.2,0
71075,2011,2,15,17.8,4.2,0
71075,2011,2,16,14.3,7.7,1.2
71075,2011,2,17,18,10.4,16.2
71075,2011,2,18,17.1,8.9,13.6
71075,2011,2,19,16.1,10.8,9.6
71075,2011,2,20,13.2,9.1,116.6
71075,2011,2,21,13.3,2.2,
71075,2011,2,22,15.4,-1.5,0
71075,2011,2,23,18.5,1.8,0
71075,2011,2,24,17.7,2.4,0
71075,2011,2,25,18.1,5.4,0
71075,2011,2,26,17,4.9,0
71075,2011,2,27,14.5,10.6,4.6
71075,2011,2,28,16.7,8,5.2
71075,2011,3,1,11.9,10.1,2.8
71075,2011,3,2,12.1,-1.3,0.2
71075,2011,3,3,14,4.2,0
71075,2011,3,4,13.9,2.8,0
71075,2011,3,5,12.7,2.1,0
71075,2011,3,6,17.2,-3.1,0
71075,2011,3,7,19.9,0.6,0
71075,2011,3,8,16.2,7.1,0
71075,2011,3,9,17.1,10.7,0
71075,2011,3,10,15.7,10.4,5.2
71075,2011,3,11,13.3,9.7,12.8
71075,2011,3,12,16.9,6.3,1.6
71075,2011,3,13,16.5,9.3,0
71075,2011,3,14,18.3,9.4,6
71075,2011,3,15,17.2,6.8,1
71075,2011,3,16,17.1,9,7.4
71075,2011,3,17,16.1,,
71075,2011,3,18,15.8,3.6,0
71075,2011,3,19,14.5,7.2,1.8
71075,2011,3,20,13.2,7.5,2
71075,2011,3,21,12.7,8,
71075,2011,3,22,16,8.3,49
71075,2011,3,23,11.2,9.2,5.2
71075,2011,3,24,8.3,4.2,9.6
71075,2011,3,25,10.2,5.7,23
71075,2011,3,26,11.3,3.4,0.6
71075,2011,3,27,14.8,-0.7,0
71075,2011,3,28,16.6,-0.1,0
71075,2011,3,29,13.4,1.6,0
71075,2011,3,30,11.1,6.7,0.6
71075,2011,3,31,12,2,2.8
71075,2011,4,1,13.6,-2.2,
71075,2011,4,2,11.1,-1.3,0
71075,2011,4,3,15,-2.1,0
71075,2011,4,4,12.8,-0.8,0
71075,2011,4,5,12.1,-3,0.2
71075,2011,4,6,12.8,-2.4,0
71075,2011,4,7,13.1,-2.6,0
71075,2011,4,8,16.7,-3.5,
71075,2011,4,9,12.1,1.5,0
71075,2011,4,10,5.3,1.9,32
71075,2011,4,11,5.7,-2,2.6
71075,2011,4,12,2.7,0,0.6
71075,2011,4,13,3.4,0.1,31.2
71075,2011,4,14,8.7,0.3,1.2
71075,2011,4,15,7.1,-0.1,0.2
71075,2011,4,16,8.2,0.7,5
71075,2011,4,17,13,-3.8,0
71075,2011,4,18,15.5,-2,0
71075,2011,4,19,15.4,1,0
71075,2011,4,20,10.6,4.3,2.8
71075,2011,4,21,7.7,5,1
71075,2011,4,22,7.5,3.6,1
71075,2011,4,23,10,-5.1,0.2
71075,2011,4,24,14.5,-3.1,0
71075,2011,4,25,13.1,-2.5,0
71075,2011,4,26,10.1,3.8,
71075,2011,4,27,10.7,-2.6,0
71075,2011,4,28,10.7,-0.3,0
71075,2011,4,29,14.8,-3.7,0.2
71075,2011,4,30,14.1,-3.7,0
71075,2011,5,1,11.1,-0.5,0
71075,2011,5,2,11.8,3.4,0
71075,2011,5,3,6.2,3.6,5.4
71075,2011,5,4,8.2,-0.9,1.6
71075,2011,5,5,8.8,-5.3,0
71075,2011,5,6,12.3,-4.2,0
71075,2011,5,7,11.9,-4.1,0
71075,2011,5,8,4.8,-3,0
71075,2011,5,9,2.3,-3.8,0.6
71075,2011,5,10,6.1,-6,
71075,2011,5,11,-0.3,-3.4,11
71075,2011,5,12,2.8,-8.1,11.8
71075,2011,5,13,1.2,-3,2
71075,2011,5,14,1.8,-4.6,14.4
71075,2011,5,15,6.3,-5.6,0
71075,2011,5,16,8.7,-4.5,0
71075,2011,5,17,8.8,-4.3,0
71075,2011,5,18,9.5,-4.1,0
71075,2011,5,19,8.4,-0.7,0
71075,2011,5,20,11.9,-2,0
71075,2011,5,21,6.3,0.3,0
71075,2011,5,22,8.4,4,0
71075,2011,5,23,4.6,3,24.2
71075,2011,5,24,3.5,0,54
71075,2011,5,25,0.9,-3.1,4
71075,2011,5,26,6.8,-4.9,0
71075,2011,5,27,7.1,-4.1,0
71075,2011,5,28,6.3,-5.4,0
71075,2011,5,29,7.4,-3,0
71075,2011,5,30,5.5,-1.6,0
71075,2011,5,31,6.2,0.2,3
71075,2011,6,1,7,-2.2,0.2
71075,2011,6,2,11.8,-4.1,0
71075,2011,6,3,4.7,-2.9,0
71075,2011,6,4,2.4,1.4,16
71075,2011,6,5,-0.4,-3.1,1.8
71075,2011,6,6,1.2,-2.6,8.4
71075,2011,6,7,-2.1,-7.6,0
71075,2011,6,8,-1,-6.4,9.6
71075,2011,6,9,1,-5,0.6
71075,2011,6,10,1.3,-1.9,2.6
71075,2011,6,11,1.5,-6.1,1
71075,2011,6,12,1.1,-2.6,1.8
71075,2011,6,13,1.9,-2.5,5.4
71075,2011,6,14,1.3,-1,7.8
71075,2011,6,15,2.1,-0.8,4.4
71075,2011,6,16,8.4,-4.5,0.6
71075,2011,6,17,0.3,-3.5,0.4
71075,2011,6,18,1,-2.7,7.2
71075,2011,6,19,1.5,-3.7,0.4
71075,2011,6,20,2,-0.2,9.8
71075,2011,6,21,-0.3,-0.3,32.4
71075,2011,6,22,1.6,-4.6,35.2
71075,2011,6,23,3.9,-3.4,9.6
71075,2011,6,24,4.8,-2.5,0
71075,2011,6,25,6.4,-5.5,0
71075,2011,6,26,2.8,-1.1,0
71075,2011,6,27,6.6,-1,0
71075,2011,6,28,9.1,-9.6,0
71075,2011,6,29,8,-7.4,0
71075,2011,6,30,10.3,-7,0
71075,2011,7,1,10.3,-5.5,0
71075,2011,7,2,4.3,-4.9,0
71075,2011,7,3,3.1,-0.5,0
71075,2011,7,4,0.6,0.2,44.4
71075,2011,7,5,-1.5,-3.4,33.6
71075,2011,7,6,-0.2,-3.7,29.6
71075,2011,7,7,3.1,-3,60.2
71075,2011,7,8,3.9,-5.7,3
71075,2011,7,9,-1.1,-5.2,0
71075,2011,7,10,-0.4,-5,3.6
71075,2011,7,11,1.6,-5,19
71075,2011,7,12,1,-3.6,0
71075,2011,7,13,-0.4,-3.4,1.2
71075,2011,7,14,0.2,-5.3,6
71075,2011,7,15,5,-10.8,0
71075,2011,7,16,4.4,-10.4,0
71075,2011,7,17,3.9,-3.4,0
71075,2011,7,18,1.3,-0.4,3.6
71075,2011,7,19,1.8,-7.4,7.4
71075,2011,7,20,1.6,0,21.6
71075,2011,7,21,1.2,-1.4,16.2
71075,2011,7,22,0,-1.9,15.6
71075,2011,7,23,3.4,-8.4,5
71075,2011,7,24,0.7,-7.7,0.6
71075,2011,7,25,1.3,-2.5,1.8
71075,2011,7,26,1.7,,
71075,2011,7,27,3.1,-9.7,0
71075,2011,7,28,6.5,-6.4,0
71075,2011,7,29,9.1,-3.9,0
71075,2011,7,30,3.9,-3.5,0
71075,2011,7,31,4.1,0.1,2.8
71075,2011,8,1,5.1,0.9,1.4
71075,2011,8,2,8.2,3.1,0
71075,2011,8,3,9.4,4.2,0
71075,2011,8,4,9.3,4.7,0
71075,2011,8,5,6.8,4.2,
71075,2011,8,6,3.6,0.1,10
71075,2011,8,7,1.7,-1.5,49.2
71075,2011,8,8,2,-2.6,11.4
71075,2011,8,9,1.4,-7.4,0
71075,2011,8,10,2.3,-3.1,0
71075,2011,8,11,2.2,-1.3,28.2
71075,2011,8,12,6.2,-5.9,7.6
71075,2011,8,13,5.4,-6,0
71075,2011,8,14,6.3,-6,0
71075,2011,8,15,6.1,-5.1,0
71075,2011,8,16,8.1,-0.6,0.8
71075,2011,8,17,2.9,0.1,0
71075,2011,8,18,1.4,-0.1,20
71075,2011,8,19,3.2,-2.7,4.6
71075,2011,8,20,3.5,-2.1,12.2
71075,2011,8,21,9,-6.1,0
71075,2011,8,22,12.3,-5.2,0
71075,2011,8,23,12,-2.2,0
71075,2011,8,24,11,-1.2,0
71075,2011,8,25,4.9,0.3,0
71075,2011,8,26,6,2.5,0
71075,2011,8,27,4.8,1,0
71075,2011,8,28,6.3,-3.4,0
71075,2011,8,29,1.4,-0.7,0
71075,2011,8,30,4.8,-3.7,4
71075,2011,8,31,6.8,-5,0
71075,2011,9,1,8.5,-3.7,0
71075,2011,9,2,10.6,-8.6,0
71075,2011,9,3,8.2,-3,0
71075,2011,9,4,6.7,3.4,0
71075,2011,9,5,6.5,3.7,8.2
71075,2011,9,6,4.9,3.5,21.2
71075,2011,9,7,2.5,-4.3,22.8
71075,2011,9,8,6,-8.9,0.4
71075,2011,9,9,0.9,-2.9,0
71075,2011,9,10,1.6,-5.1,2.6
71075,2011,9,11,3.3,-2.4,0
71075,2011,9,12,6.5,-8.7,4.2
71075,2011,9,13,6.9,-1.7,0
71075,2011,9,14,5.6,-1.2,0
71075,2011,9,15,6.4,-2.8,0
71075,2011,9,16,8.8,0.6,0
71075,2011,9,17,11.2,3.6,0
71075,2011,9,18,14.2,6.7,0
71075,2011,9,19,15.2,1.3,0
71075,2011,9,20,1.7,0.5,13
71075,2011,9,21,8.5,-1.3,17.6
71075,2011,9,22,10.1,1.1,0
71075,2011,9,23,10.8,5.1,0
71075,2011,9,24,8.8,-1.2,0
71075,2011,9,25,6.7,-2.6,8.2
71075,2011,9,26,9.8,-7.5,1.2
71075,2011,9,27,10.2,2,0
71075,2011,9,28,10.5,2.1,0
71075,2011,9,29,1.7,1.1,91
71075,2011,9,30,1.2,-1.3,44
71075,2011,10,1,3.7,-1.3,13.4
71075,2011,10,2,2,-1.5,14.2
71075,2011,10,3,6,-6.7,7.4
71075,2011,10,4,10.7,-4.6,0
71075,2011,10,5,7.6,-2.6,0
71075,2011,10,6,6.5,1.5,0
71075,2011,10,7,10.4,2.1,4.8
71075,2011,10,8,10.2,0.8,6.6
71075,2011,10,9,3.7,3.2,4
71075,2011,10,10,2.6,-1.5,9.4
71075,2011,10,11,5.9,-1.9,3.4
71075,2011,10,12,12.2,-4,0
71075,2011,10,13,14.8,-2.4,0
71075,2011,10,14,16.5,1.7,0
71075,2011,10,15,11.4,5.3,0
71075,2011,10,16,5.1,1.6,1.8
71075,2011,10,17,11.4,-6.3,0
71075,2011,10,18,15.1,-2.9,0
71075,2011,10,19,15.4,1.1,0
71075,2011,10,20,15.4,3.7,0
71075,2011,10,21,15.5,8,0
71075,2011,10,22,15,6.8,0
71075,2011,10,23,15.8,4.7,6.6
71075,2011,10,24,15.9,8.2,0
71075,2011,10,25,5.5,2.5,33.2
71075,2011,10,26,10.9,0.1,9.2
71075,2011,10,27,14.1,-3.5,0
71075,2011,10,28,13.3,6,0
71075,2011,10,29,11,8.1,29.8
71075,2011,10,30,8.5,3.5,8.2
71075,2011,10,31,14.1,-1.7,11.8
71075,2011,11,1,13.8,3,0
71075,2011,11,2,10.6,1.6,3.8
71075,2011,11,3,12.6,-0.5,2.4
71075,2011,11,4,17,-1.9,0
71075,2011,11,5,19.4,2.4,0
71075,2011,11,6,18.1,10,0
71075,2011,11,7,15.9,8.4,15
71075,2011,11,8,15.5,7.6,1.8
71075,2011,11,9,15.8,11.4,23.8
71075,2011,11,10,9.2,8.3,59.4
71075,2011,11,11,16.1,2,5.8
71075,2011,11,12,15.7,5.2,0
71075,2011,11,13,17.6,4.5,0
71075,2011,11,14,16.3,6.3,0
71075,2011,11,15,15.8,8.5,0
71075,2011,11,16,13.9,6.2,0
71075,2011,11,17,16.5,2.4,13
71075,2011,11,18,17.4,8.4,0
71075,2011,11,19,20.4,12.5,0
71075,2011,11,20,12.5,9.8,16.4
71075,2011,11,21,14.6,2.8,28.2
71075,2011,11,22,8.3,1.8,0
71075,2011,11,23,10.6,1.2,0
71075,2011,11,24,12.3,-1,0
71075,2011,11,25,14.6,4.3,2.4
71075,2011,11,26,12.3,7.8,81.6
71075,2011,11,27,16.4,5.2,49.6
71075,2011,11,28,16.9,6.8,0.2
71075,2011,11,29,20.6,8.9,0
71075,2011,11,30,14.1,10.7,17.4
71075,2011,12,1,11.2,-3.6,10.8
71075,2011,12,2,9.5,-0.9,0
71075,2011,12,3,12.3,-0.6,0
71075,2011,12,4,9.3,2.4,0
71075,2011,12,5,7.1,-2.8,0
71075,2011,12,6,12.6,-4.2,0
71075,2011,12,7,14.9,0.1,0
71075,2011,12,8,17.4,3.9,0
71075,2011,12,9,19.1,2.2,0
71075,2011,12,10,16.7,8.8,0
71075,2011,12,11,18.3,8.2,11
71075,2011,12,12,16.9,5,1
71075,2011,12,13,12.1,2,1
71075,2011,12,14,11.9,1.1,0.4
71075,2011,12,15,15.5,0.9,0
71075,2011,12,16,15.5,1.5,5.2
71075,2011,12,17,18.5,1.2,7.8
71075,2011,12,18,16.8,3.7,0
71075,2011,12,19,15.4,10.2,16.6
