Year,Week,Resort,Visitors,MaxTemp,MinTemp,Rainfall
2019,2,Mt. Baw Baw,4311,1.1666666666666667,-1.9142857142857144,44.8
2019,3,Mt. Baw Baw,5341,6.042857142857143,0.5142857142857142,0.2
2019,4,Mt. Baw Baw,6645,4.083333333333333,-0.8142857142857143,14.4
2019,5,Mt. Baw Baw,10595,2.033333333333333,-1.0857142857142856,42.0
2019,6,Mt. Baw Baw,9056,1.9333333333333333,-2.233333333333333,99.19999999999999
2019,7,Mt. Baw Baw,9515,3.1714285714285713,-0.9833333333333334,12.0
2019,8,Mt. Baw Baw,10134,3.685714285714286,-1.7285714285714284,11.8
2019,9,Mt. Baw Baw,10039,0.7285714285714285,-2.6142857142857143,71.2
2019,10,Mt. Baw Baw,4004,1.7714285714285716,-2.642857142857143,127.8
2019,11,Mt. Baw Baw,12128,3.7857142857142856,-2.6142857142857143,55.800000000000004
2019,12,Mt. Baw Baw,10255,3.400000000000001,-2.642857142857143,43.4
2019,13,Mt. Baw Baw,8502,5.6000000000000005,0.5,44.8
2019,14,Mt. Baw Baw,6878,5.133333333333334,-1.757142857142857,101.6
2019,15,Mt. Baw Baw,6089,7.314285714285715,0.6285714285714287,47.400000000000006
2020,1,Mt. Baw Baw,1074,5.357142857142857,0.13999999999999999,20.400000000000002
2020,2,Mt. Baw Baw,544,3.6142857142857143,0.21428571428571433,20.2
2020,3,Mt. Baw Baw,603,3.2714285714285714,-1.4285714285714286,55.0
2020,4,Mt. Baw Baw,2168,2.3000000000000003,-1.4166666666666667,61.4
2020,5,Mt. Baw Baw,4055,3.4199999999999995,-1.850371707708594e-17,75.8
2020,6,Mt. Baw Baw,2945,3.685714285714286,-0.8500000000000001,26.6
2020,7,Mt. Baw Baw,1149,3.5142857142857147,-1.3333333333333333,23.799999999999997
2020,8,Mt. Baw Baw,941,5.933333333333334,-0.19999999999999996,67.8
2020,9,Mt. Baw Baw,834,-0.32,-3.8000000000000003,42.0
2020,10,Mt. Baw Baw,0,4.714285714285714,0.6833333333333332,88.8
2020,11,Mt. Baw Baw,0,-0.21666666666666665,-2.8428571428571425,113.2
2020,12,Mt. Baw Baw,0,3.2833333333333337,-1.5714285714285714,28.799999999999997
2020,13,Mt. Baw Baw,0,8.299999999999999,-0.11666666666666677,6.0
2020,14,Mt. Baw Baw,0,9.175,2.1714285714285717,4.0
2020,15,Mt. Baw Baw,0,10.557142857142855,2.7800000000000002,0.2
2021,1,Mt. Baw Baw,334,4.64,-0.575,349.6
2021,2,Mt. Baw Baw,941,2.6999999999999997,-0.4714285714285715,27.0
2021,3,Mt. Baw Baw,2614,4.257142857142857,-0.04285714285714283,28.799999999999997
2021,4,Mt. Baw Baw,8833,1.657142857142857,-1.4285714285714286,21.6
2021,5,Mt. Baw Baw,11910,3.466666666666667,-1.3,1.4
2021,6,Mt. Baw Baw,2430,1.0142857142857142,-1.6428571428571428,57.6
2021,7,Mt. Baw Baw,3,0.85,-3.185714285714286,45.4
2021,8,Mt. Baw Baw,3274,1.957142857142857,-1.7857142857142858,33.2
2021,9,Mt. Baw Baw,1757,2.6285714285714286,-1.0714285714285714,38.8
2021,10,Mt. Baw Baw,2392,3.371428571428571,-0.7285714285714285,33.0
2021,11,Mt. Baw Baw,1948,4.628571428571428,0.07142857142857142,59.2
2021,12,Mt. Baw Baw,0,2.6857142857142855,-1.6285714285714286,45.2
2021,13,Mt. Baw Baw,0,7.028571428571429,2.3285714285714287,116.0
2021,14,Mt. Baw Baw,176,6.428571428571429,-1.3285714285714287,13.200000000000001
2021,15,Mt. Baw Baw,475,4.114285714285715,-1.6857142857142855,83.8
2022,1,Mt. Baw Baw,8513,1.1428571428571428,-1.7142857142857142,41.6
2022,2,Mt. Baw Baw,6516,3.3714285714285714,0.3,40.2
2022,3,Mt. Baw Baw,5609,2.6999999999999997,-1.0571428571428572,37.6
2022,4,Mt. Baw Baw,10614,4.6571428571428575,-1.6285714285714286,0.0
2022,5,Mt. Baw Baw,11092,0.5714285714285714,-1.342857142857143,47.8
2022,6,Mt. Baw Baw,9082,0.7571428571428572,-3.5714285714285716,66.2
2022,7,Mt. Baw Baw,8570,4.957142857142857,-0.19999999999999998,27.6
2022,8,Mt. Baw Baw,7825,2.142857142857143,-2.557142857142857,52.8
2022,9,Mt. Baw Baw,7810,2.4142857142857146,-1.0714285714285714,29.6
2022,10,Mt. Baw Baw,6587,3.4,-0.7428571428571429,73.6
2022,11,Mt. Baw Baw,7939,1.6285714285714286,-2.6142857142857143,108.2
2022,12,Mt. Baw Baw,6782,6.642857142857143,0.1857142857142857,71.0
2022,13,Mt. Baw Baw,4750,4.5285714285714285,-2.2285714285714286,27.6
2022,14,Mt. Baw Baw,3009,2.557142857142857,-0.7571428571428571,70.6
2022,15,Mt. Baw Baw,2262,5.471428571428571,0.0,49.0
2023,1,Mt. Baw Baw,1218,2.4714285714285715,-1.1285714285714286,32.4
2023,2,Mt. Baw Baw,2458,1.157142857142857,-2.2857142857142856,53.6
2023,3,Mt. Baw Baw,7129,0.6285714285714287,-1.6428571428571428,43.6
2023,4,Mt. Baw Baw,17116,3.7285714285714286,-0.15714285714285717,26.599999999999998
2023,5,Mt. Baw Baw,14690,3.1,-0.6285714285714287,22.400000000000002
2023,6,Mt. Baw Baw,9419,4.557142857142858,-0.7714285714285715,12.0
2023,7,Mt. Baw Baw,10343,5.014285714285714,-0.12857142857142861,19.6
2023,8,Mt. Baw Baw,10041,5.8,1.0571428571428572,10.0
2023,9,Mt. Baw Baw,7015,5.257142857142857,0.14285714285714285,11.8
2023,10,Mt. Baw Baw,7481,1.9142857142857144,-1.9285714285714286,19.8
2023,11,Mt. Baw Baw,4999,5.442857142857143,-0.5714285714285714,48.0
2023,12,Mt. Baw Baw,3680,7.042857142857143,2.085714285714286,43.400000000000006
2023,13,Mt. Baw Baw,1265,8.657142857142857,-0.21428571428571436,39.2
2023,14,Mt. Baw Baw,0,6.542857142857143,0.38571428571428573,32.4
2023,15,Mt. Baw Baw,0,10.828571428571427,5.385714285714286,29.0
2024,1,Mt. Baw Baw,1558,1.8142857142857143,-1.5,73.60000000000001
2024,2,Mt. Baw Baw,1546,1.7714285714285711,-2.757142857142857,17.200000000000003
2024,3,Mt. Baw Baw,1695,3.057142857142857,-1.0,10.0
2024,4,Mt. Baw Baw,4457,3.1571428571428575,-2.0,45.0
2024,5,Mt. Baw Baw,11079,4.057142857142857,0.7571428571428571,102.80000000000001
2024,6,Mt. Baw Baw,9830,0.4428571428571428,-2.685714285714286,216.39999999999998
2024,7,Mt. Baw Baw,9456,3.314285714285714,-0.5142857142857143,38.800000000000004
2024,8,Mt. Baw Baw,8513,4.257142857142857,-2.0571428571428574,54.6
2024,9,Mt. Baw Baw,9635,3.9428571428571426,-0.5571428571428572,1.0
2024,10,Mt. Baw Baw,8121,8.885714285714286,3.185714285714286,4.4
2024,11,Mt. Baw Baw,5977,6.1571428571428575,1.6500000000000001,26.2
2024,12,Mt. Baw Baw,3597,5.428571428571429,0.9285714285714286,23.6
2024,13,Mt. Baw Baw,1500,7.142857142857143,-0.09999999999999994,50.6
2024,14,Mt. Baw Baw,0,5.628571428571428,-0.11666666666666659,45.8
2024,15,Mt. Baw Baw,0,2.085714285714286,-2.0285714285714285,92.6
2014,1,Mt. Stirling,60,4.271428571428571,-0.014285714285714266,14.2
2014,2,Mt. Stirling,42,5.257142857142857,-0.34285714285714286,47.6
2014,3,Mt. Stirling,30,0.3857142857142857,-2.5142857142857147,133.6
2014,4,Mt. Stirling,165,0.9571428571428572,-1.8571428571428572,80.0
2014,5,Mt. Stirling,645,-0.2857142857142857,-3.4,71.4
2014,6,Mt. Stirling,1316,-1.0,-3.585714285714286,37.2
2014,7,Mt. Stirling,684,2.3714285714285714,-1.5142857142857142,26.4
2014,8,Mt. Stirling,1250,0.4428571428571428,-2.985714285714286,101.0
2014,9,Mt. Stirling,1280,1.157142857142857,-3.5142857142857147,6.6000000000000005
2014,10,Mt. Stirling,1653,3.7142857142857144,-3.8714285714285714,5.0
2014,11,Mt. Stirling,902,4.314285714285715,-0.32857142857142857,0.4
2014,12,Mt. Stirling,847,7.0857142857142845,1.1714285714285713,0.6000000000000001
2014,13,Mt. Stirling,522,4.414285714285714,-1.7,29.8
2014,14,Mt. Stirling,267,5.271428571428571,0.27142857142857146,33.6
2014,15,Mt. Stirling,66,4.8428571428571425,-1.5142857142857142,20.8
2015,1,Mt. Stirling,39,6.5,0.1857142857142857,17.8
2015,2,Mt. Stirling,63,2.8000000000000003,-1.9285714285714286,8.0
2015,3,Mt. Stirling,51,6.414285714285714,-0.5571428571428572,0.6
2015,4,Mt. Stirling,27,-0.08571428571428574,-3.8857142857142857,11.799999999999999
2015,5,Mt. Stirling,69,0.6285714285714287,-3.0142857142857147,45.8
2015,6,Mt. Stirling,240,-1.1428571428571428,-5.2,25.8
2015,7,Mt. Stirling,714,0.2285714285714285,-2.4714285714285715,56.8
2015,8,Mt. Stirling,558,-0.014285714285714235,-4.328571428571428,68.0
2015,9,Mt. Stirling,1218,-0.6285714285714284,-4.628571428571428,25.6
2015,10,Mt. Stirling,1371,0.2571428571428572,-2.2285714285714286,28.599999999999998
2015,11,Mt. Stirling,1146,3.142857142857143,-1.8571428571428572,2.8000000000000003
2015,12,Mt. Stirling,744,2.1285714285714286,-2.8285714285714287,24.6
2015,13,Mt. Stirling,618,3.4857142857142853,-1.3142857142857143,12.600000000000001
2015,14,Mt. Stirling,429,7.185714285714285,0.25714285714285723,14.0
2015,15,Mt. Stirling,249,6.514285714285714,-0.2857142857142857,12.4
2016,1,Mt. Stirling,39,5.3999999999999995,-0.8571428571428571,93.0
2016,2,Mt. Stirling,36,3.414285714285714,0.29999999999999993,99.8
2016,3,Mt. Stirling,186,-1.0714285714285714,-4.242857142857143,55.6
2016,4,Mt. Stirling,480,0.0,-2.0142857142857142,39.8
2016,5,Mt. Stirling,711,0.6571428571428571,-1.1142857142857143,40.0
2016,6,Mt. Stirling,840,5.2,-1.1857142857142857,27.2
2016,7,Mt. Stirling,694,0.9285714285714286,-2.8428571428571425,123.60000000000001
2016,8,Mt. Stirling,1326,0.32857142857142857,-2.2285714285714286,92.4
2016,9,Mt. Stirling,1122,1.5571428571428572,-2.9285714285714284,20.8
2016,10,Mt. Stirling,1149,2.4714285714285715,-1.8571428571428572,28.4
2016,11,Mt. Stirling,708,1.7285714285714284,-1.8857142857142857,133.79999999999998
2016,12,Mt. Stirling,735,1.8857142857142857,-2.6714285714285713,35.0
2016,13,Mt. Stirling,198,6.514285714285714,1.0,15.8
2016,14,Mt. Stirling,102,4.642857142857143,1.1142857142857143,78.6
2016,15,Mt. Stirling,87,3.0,-2.0714285714285716,49.4
2017,1,Mt. Stirling,96,7.014285714285714,0.42857142857142855,0.0
2017,2,Mt. Stirling,33,6.3428571428571425,0.7,0.0
2017,3,Mt. Stirling,72,-0.5285714285714286,-3.242857142857143,10.4
2017,4,Mt. Stirling,132,1.2285714285714289,-2.9857142857142853,79.2
2017,5,Mt. Stirling,162,-0.4714285714285714,-3.1142857142857143,48.199999999999996
2017,6,Mt. Stirling,387,-0.8142857142857143,-3.9,58.2
2017,7,Mt. Stirling,962,0.7571428571428571,-3.142857142857143,45.4
2017,8,Mt. Stirling,702,2.5285714285714285,-2.042857142857143,16.8
2017,9,Mt. Stirling,1176,0.5428571428571428,-2.4857142857142853,92.6
2017,10,Mt. Stirling,1317,2.142857142857143,-0.6,156.6
2017,11,Mt. Stirling,1452,-0.9714285714285714,-4.628571428571428,58.0
2017,12,Mt. Stirling,936,0.6428571428571429,-5.6000000000000005,27.4
2017,13,Mt. Stirling,897,1.3571428571428572,-3.014285714285714,64.8
2017,14,Mt. Stirling,1023,2.1285714285714286,-2.6285714285714286,48.400000000000006
2017,15,Mt. Stirling,408,4.828571428571428,-2.814285714285714,69.6
2018,1,Mt. Stirling,192,2.057142857142857,-1.1714285714285713,128.4
2018,2,Mt. Stirling,180,-0.1285714285714286,-3.442857142857143,46.8
2018,3,Mt. Stirling,339,2.2857142857142856,-2.4857142857142853,2.2
2018,4,Mt. Stirling,474,2.0428571428571427,-1.9000000000000001,14.600000000000001
2018,5,Mt. Stirling,810,0.8428571428571429,-3.8285714285714287,42.400000000000006
2018,6,Mt. Stirling,1086,0.2571428571428571,-4.1,20.8
2018,7,Mt. Stirling,1269,-0.014285714285714235,-3.5,35.4
2018,8,Mt. Stirling,1128,1.2142857142857142,-2.657142857142857,42.6
2018,9,Mt. Stirling,1719,0.7,-3.442857142857143,119.0
2018,10,Mt. Stirling,1860,-0.1571428571428571,-3.142857142857143,59.6
2018,11,Mt. Stirling,1452,-1.1857142857142857,-4.628571428571428,45.2
2018,12,Mt. Stirling,1374,1.7714285714285716,-4.8428571428571425,3.4
2018,13,Mt. Stirling,913,2.4714285714285715,-2.7,26.8
2018,14,Mt. Stirling,498,6.214285714285714,-0.2571428571428572,7.4
2018,15,Mt. Stirling,258,1.8142857142857143,-3.442857142857143,18.2
2019,1,Mt. Stirling,237,4.0285714285714285,0.5714285714285714,133.79999999999998
2019,2,Mt. Stirling,81,0.4428571428571428,-3.685714285714286,21.4
2019,3,Mt. Stirling,126,4.742857142857143,-0.7285714285714285,30.6
2019,4,Mt. Stirling,63,2.742857142857143,-1.657142857142857,64.8
2019,5,Mt. Stirling,123,0.7142857142857143,-1.8285714285714285,104.2
2019,6,Mt. Stirling,318,0.8428571428571429,-3.4714285714285715,67.8
2019,7,Mt. Stirling,675,2.085714285714286,-2.2857142857142856,16.8
2019,8,Mt. Stirling,858,4.271428571428571,-1.2285714285714289,9.4
2019,9,Mt. Stirling,924,0.14285714285714285,-3.585714285714286,18.2
2019,10,Mt. Stirling,909,0.8714285714285713,-4.1,23.0
2019,11,Mt. Stirling,1455,3.0,-3.7142857142857144,51.4
2019,12,Mt. Stirling,1542,2.857142857142857,-4.057142857142857,16.8
2019,13,Mt. Stirling,1083,4.7,-0.29999999999999993,45.6
2019,14,Mt. Stirling,522,4.2,-2.6142857142857143,34.0
2019,15,Mt. Stirling,363,6.057142857142857,0.4999999999999999,30.2
2020,1,Mt. Stirling,126,4.3999999999999995,-0.557142857142857,76.8
2020,2,Mt. Stirling,27,2.414285714285714,-0.14285714285714288,51.4
2020,3,Mt. Stirling,24,2.257142857142857,-2.2857142857142856,27.4
2020,4,Mt. Stirling,93,1.2571428571428573,-2.314285714285714,47.6
2020,5,Mt. Stirling,171,2.2714285714285714,-0.7000000000000001,17.200000000000003
2020,6,Mt. Stirling,438,3.8285714285714287,-2.185714285714286,5.0
2020,7,Mt. Stirling,108,5.0,0.07142857142857142,3.8000000000000003
2020,8,Mt. Stirling,127,5.814285714285715,-0.5285714285714286,1.0
2020,9,Mt. Stirling,98,0.7999999999999999,-4.3428571428571425,17.2
2020,10,Mt. Stirling,9,3.2285714285714286,-0.2333333333333333,14.600000000000001
2020,11,Mt. Stirling,0,-1.0571428571428572,-3.685714285714286,72.60000000000001
2020,12,Mt. Stirling,0,2.5,-3.2857142857142856,25.0
2020,13,Mt. Stirling,0,4.971428571428571,-1.1,5.0
2020,14,Mt. Stirling,0,8.942857142857143,1.7,28.0
2020,15,Mt. Stirling,0,9.671428571428573,4.785714285714286,27.799999999999997
2021,1,Mt. Stirling,216,2.7857142857142856,-1.5,77.6
2021,2,Mt. Stirling,69,2.6285714285714286,-1.8,14.6
2021,3,Mt. Stirling,99,2.8000000000000003,-1.042857142857143,53.6
2021,4,Mt. Stirling,315,0.5285714285714286,-2.6285714285714286,21.8
2021,5,Mt. Stirling,697,2.1285714285714286,-2.242857142857143,11.0
2021,6,Mt. Stirling,103,0.38571428571428573,-2.6999999999999997,22.8
2021,7,Mt. Stirling,0,-0.35714285714285715,-3.9714285714285715,63.6
2021,8,Mt. Stirling,468,0.39999999999999997,-2.9,52.599999999999994
2021,9,Mt. Stirling,774,1.2714285714285716,-2.257142857142857,21.4
2021,10,Mt. Stirling,834,1.8571428571428572,-1.5857142857142856,18.2
2021,11,Mt. Stirling,0,2.757142857142857,-1.042857142857143,18.4
2021,12,Mt. Stirling,0,1.4000000000000001,-2.7714285714285714,16.6
2021,13,Mt. Stirling,15,6.057142857142857,1.3142857142857143,0.0
2021,14,Mt. Stirling,33,6.471428571428571,-0.5428571428571429,0.0
2021,15,Mt. Stirling,618,3.6142857142857143,-1.9285714285714286,0.0
2022,1,Mt. Stirling,1038,0.028571428571428564,-3.1999999999999997,9.0
2022,2,Mt. Stirling,711,2.3428571428571425,-1.0571428571428572,87.4
2022,3,Mt. Stirling,426,2.2142857142857144,-1.9714285714285713,91.8
2022,4,Mt. Stirling,984,6.242857142857143,-0.24285714285714288,0.0
2022,5,Mt. Stirling,1071,0.14285714285714285,-2.8714285714285714,14.8
2022,6,Mt. Stirling,660,0.07142857142857142,-5.228571428571429,21.2
2022,7,Mt. Stirling,1158,2.9,-0.5,26.0
2022,8,Mt. Stirling,1032,1.0142857142857142,-2.9857142857142853,74.19999999999999
2022,9,Mt. Stirling,819,1.1428571428571428,-1.7285714285714282,35.599999999999994
2022,10,Mt. Stirling,1314,2.3714285714285714,-1.8714285714285714,62.2
2022,11,Mt. Stirling,1577,0.42857142857142855,-3.2428571428571433,80.2
2022,12,Mt. Stirling,975,5.685714285714285,-0.39999999999999997,42.599999999999994
2022,13,Mt. Stirling,609,3.1285714285714286,-1.8142857142857143,11.2
2022,14,Mt. Stirling,357,1.9714285714285715,-1.7285714285714289,107.8
2022,15,Mt. Stirling,85,2.9,-1.385714285714286,55.8
2023,1,Mt. Stirling,54,1.1857142857142857,-1.5142857142857142,72.0
2023,2,Mt. Stirling,82,-0.34285714285714286,-3.1999999999999997,48.800000000000004
2023,3,Mt. Stirling,422,-0.19999999999999998,-2.585714285714286,9.6
2023,4,Mt. Stirling,710,2.9714285714285715,-0.9,66.6
2023,5,Mt. Stirling,678,1.4166666666666667,-1.4428571428571428,75.6
2023,6,Mt. Stirling,844,3.8285714285714287,-1.5714285714285714,2.0
2023,7,Mt. Stirling,589,3.8428571428571425,-1.6285714285714286,13.6
2023,8,Mt. Stirling,673,3.8714285714285714,0.2571428571428572,29.6
2023,9,Mt. Stirling,1387,4.857142857142857,-0.22857142857142856,30.6
2023,10,Mt. Stirling,1495,2.1,-2.9,25.0
2023,11,Mt. Stirling,2050,4.7,-0.9428571428571428,34.2
2023,12,Mt. Stirling,906,6.571428571428571,0.8142857142857142,24.2
2023,13,Mt. Stirling,1069,7.242857142857143,-0.7857142857142858,26.2
2023,14,Mt. Stirling,0,6.1000000000000005,-0.3857142857142856,34.8
2023,15,Mt. Stirling,0,10.928571428571429,5.014285714285714,19.8
2024,1,Mt. Stirling,0,3.6571428571428575,-2.4,58.800000000000004
2024,2,Mt. Stirling,12,2.3285714285714287,-3.3428571428571425,2.5999999999999996
2024,3,Mt. Stirling,106,1.5,-1.9714285714285715,25.6
2024,4,Mt. Stirling,122,2.757142857142857,-2.742857142857143,18.2
2024,5,Mt. Stirling,426,2.2285714285714286,-1.1142857142857143,38.2
2024,6,Mt. Stirling,122,-0.39999999999999997,-3.885714285714286,21.8
2024,7,Mt. Stirling,1403,1.4857142857142858,-2.0571428571428574,69.8
2024,8,Mt. Stirling,1596,1.8285714285714285,-3.7857142857142856,17.4
2024,9,Mt. Stirling,2097,2.0285714285714285,-1.7,8.200000000000001
2024,10,Mt. Stirling,1632,6.128571428571428,2.2714285714285714,12.2
2024,11,Mt. Stirling,1416,4.885714285714286,0.8285714285714285,44.2
2024,12,Mt. Stirling,701,4.257142857142857,0.1571428571428572,43.6
2024,13,Mt. Stirling,213,6.1000000000000005,-0.6714285714285714,44.4
2024,14,Mt. Stirling,0,5.728571428571429,-0.5714285714285714,26.4
2024,15,Mt. Stirling,0,2.0714285714285716,-3.185714285714286,35.4
2014,1,Mt. Hotham,3483,3.4571428571428577,-1.1428571428571428,42.0
2014,2,Mt. Hotham,1253,3.0,-1.2571428571428573,13.0
2014,3,Mt. Hotham,2992,-0.9000000000000001,-3.2857142857142856,20.8
2014,4,Mt. Hotham,9680,-0.9857142857142858,-3.4714285714285715,0.6
2014,5,Mt. Hotham,29628,-1.8428571428571427,-4.0,3.2
2014,6,Mt. Hotham,36665,-1.9571428571428573,-4.442857142857142,0.6
2014,7,Mt. Hotham,26465,0.12857142857142853,-3.242857142857143,47.4
2014,8,Mt. Hotham,21679,-0.9428571428571428,-3.9571428571428577,87.2
2014,9,Mt. Hotham,31019,0.7000000000000001,-3.757142857142857,3.0
2014,10,Mt. Hotham,30360,1.6571428571428573,-5.485714285714286,4.8
2014,11,Mt. Hotham,35923,2.6999999999999997,-1.2714285714285716,22.0
2014,12,Mt. Hotham,32657,5.485714285714286,-0.4571428571428572,9.399999999999999
2014,13,Mt. Hotham,28855,1.457142857142857,-3.4714285714285715,6.2
2014,14,Mt. Hotham,18708,4.185714285714286,-0.9571428571428573,90.4
2014,15,Mt. Hotham,11117,3.542857142857143,-2.742857142857143,13.0
2015,1,Mt. Hotham,4997,5.0,-1.775,20.0
2015,2,Mt. Hotham,1797,,,14.4
2015,3,Mt. Hotham,3605,,,16.2
2015,4,Mt. Hotham,13197,,,5.4
2015,5,Mt. Hotham,22318,-0.6,-4.175,0.0
2015,6,Mt. Hotham,27894,-2.7285714285714286,-5.871428571428572,0.0
2015,7,Mt. Hotham,22620,-0.7285714285714285,-3.257142857142857,46.0
2015,8,Mt. Hotham,17562,-1.3,-4.1571428571428575,0.0
